AnoAtendimento;TrimestreAtendimento;MesAtendimento;DataAtendimento;CodigoRegiao;Regiao;UF;CodigoTipoAtendimento;CodigoAssunto;GrupoAssunto;CodigoProblema;GrupoProblema;SexoConsumidor;FaixaEtariaConsumidor;TipoFornecedor;RazaoSocialSindec;NomeFantasiaSindec
2015;1;2;2015-02-27 11:18:03.000;2;Nordeste;AL;6;259;TV por Assinatura;194;Problemas com Cobrança;F;entre 41 a 50 anos;1;SKY BRASIL SERVICOS LTDA;SKY
2015;1;1;2015-01-27 10:25:06.000;5;Centro-oeste;MT;3;76;Outros Contratos;218;Vício ou Má Qualidade de Produto ou Serviço;F;entre 21 a 30 anos;1;FASIPE CENTRO EDUCACIONAL LTDA;FACULDADE FASIPE
2015;1;3;2015-03-25 16:28:56.000;5;Centro-oeste;GO;6;76;Outros Contratos;27;Problemas com Contrato;M;entre 51 a 60 anos;1;ATG EMPREENDIMENTOS IMOBILIARIOS LTDA - EPP;COMPANHIA DE NEGOCIOS EMPREENDIMENTOS IMOBILIARIOS
2015;1;1;2015-01-28 13:24:17.000;1;Norte;AM;9;134;Produto de Uso Pessoal ( Barbeador, Depilador, Secador, Outros );117;Risco à Saúde e Segurança / Acidente de Consumo;M;Nao Informada;1;SUPERMERCADOS  DB LTDA;SUPERMERCADOS  DB
2015;1;1;2015-01-29 08:39:49.000;2;Nordeste;BA;9;76;Outros Contratos;27;Problemas com Contrato;M;entre 21 a 30 anos;1;VITALCRED MEIOS DE PAGAMENTO S/A;PAGPOP
2015;1;3;2015-03-17 10:41:17.000;5;Centro-oeste;MS;3;287;Bicicletas;116;Problemas com Contrato;M;entre 61 a 70 anos;1;LIDER DAS BICICLETAS LTDA.;
2015;1;1;2015-01-30 11:50:43.000;3;Sudeste;MG;6;101;Aparelho Celular;116;Problemas com Contrato;F;entre 41 a 50 anos;1;DIGIBRAS INDUSTRIA DO BRASIL S/A;CCE
2015;1;2;2015-02-10 13:28:02.000;5;Centro-oeste;MS;2;259;TV por Assinatura;194;Problemas com Cobrança;F;entre 61 a 70 anos;1;SKY BRASIL SERVICOS LTDA @;SKY
2015;1;3;2015-03-13 11:22:56.000;2;Nordeste;MA;3;279;Internet (Serviços);183;Vício ou Má Qualidade de Produto ou Serviço;F;entre 51 a 60 anos;1;TELEMAR NORTE LESTE S/A;OI FIXO
2015;1;3;2015-03-23 15:38:41.000;4;Sul;RS;3;106;Artigo de Leitura (Jornal, Revista, Livros etc.);109;Problemas na Oferta;F;entre 21 a 30 anos;1;EDITORA GLOBO S/A;EDITORA GLOBO
